img_id,img_filename,y,split,place,place_filename
11601,Marsh_Wren_0018_188363.jpg,0,0,0,/f/forest/broadleaf/00000757.jpg
11604,Marsh_Wren_0122_188323.jpg,0,0,0,/b/bamboo_forest/00002875.jpg
11605,Marsh_Wren_0036_188374.jpg,0,0,0,/f/forest/broadleaf/00004948.jpg
11606,Marsh_Wren_0027_188376.jpg,0,0,0,/f/forest/broadleaf/00000944.jpg
11607,Marsh_Wren_0107_188390.jpg,0,0,0,/f/forest/broadleaf/00002152.jpg
11610,Rock_Wren_0043_188933.jpg,0,0,0,/f/forest/broadleaf/00003059.jpg
11612,Rock_Wren_0059_188941.jpg,0,0,0,/b/bamboo_forest/00000489.jpg
11613,Rock_Wren_0024_188942.jpg,0,0,0,/b/bamboo_forest/00004988.jpg
11614,Rock_Wren_0086_188944.jpg,0,0,0,/f/forest/broadleaf/00004242.jpg
11616,Rock_Wren_0113_189204.jpg,0,0,0,/b/bamboo_forest/00000327.jpg
11619,Rock_Wren_0022_188958.jpg,0,0,0,/f/forest/broadleaf/00004223.jpg
11621,Rock_Wren_0118_188964.jpg,0,0,0,/b/bamboo_forest/00003315.jpg
11622,Rock_Wren_0096_188966.jpg,0,0,0,/f/forest/broadleaf/00001860.jpg
11626,Rock_Wren_0121_188974.jpg,0,0,0,/f/forest/broadleaf/00002523.jpg
11627,Rock_Wren_0087_188988.jpg,0,0,0,/f/forest/broadleaf/00001912.jpg
11633,Rock_Wren_0114_189283.jpg,0,0,0,/b/bamboo_forest/00004520.jpg
11634,Rock_Wren_0027_189331.jpg,0,0,0,/f/forest/broadleaf/00002133.jpg
11635,Rock_Wren_0012_189021.jpg,0,0,0,/b/bamboo_forest/00000328.jpg
11636,Rock_Wren_0001_189289.jpg,0,0,0,/f/forest/broadleaf/00001368.jpg
11640,Rock_Wren_0122_189042.jpg,0,0,1,/l/lake/natural/00001086.jpg
11642,Rock_Wren_0004_189046.jpg,0,0,0,/b/bamboo_forest/00004803.jpg
11643,Rock_Wren_0111_189443.jpg,0,0,0,/f/forest/broadleaf/00002579.jpg
11647,Rock_Wren_0080_189340.jpg,0,0,0,/b/bamboo_forest/00000378.jpg
11652,Rock_Wren_0063_189121.jpg,0,0,0,/f/forest/broadleaf/00000885.jpg
11655,Rock_Wren_0076_189141.jpg,0,0,0,/f/forest/broadleaf/00004985.jpg
11657,Rock_Wren_0123_189405.jpg,0,0,0,/f/forest/broadleaf/00000267.jpg
11660,Rock_Wren_0045_189153.jpg,0,0,0,/f/forest/broadleaf/00001318.jpg
11663,Rock_Wren_0009_189162.jpg,0,0,0,/f/forest/broadleaf/00002681.jpg
11664,Rock_Wren_0003_189167.jpg,0,0,0,/f/forest/broadleaf/00000412.jpg
11667,Rock_Wren_0026_189181.jpg,0,0,0,/b/bamboo_forest/00003145.jpg
11668,Rock_Wren_0033_189397.jpg,0,0,0,/b/bamboo_forest/00001751.jpg
11669,Winter_Wren_0095_189985.jpg,0,0,0,/f/forest/broadleaf/00003665.jpg
11671,Winter_Wren_0117_189999.jpg,0,0,0,/f/forest/broadleaf/00004079.jpg
11677,Winter_Wren_0103_189509.jpg,0,0,0,/b/bamboo_forest/00000123.jpg
11681,Winter_Wren_0072_189521.jpg,0,0,0,/f/forest/broadleaf/00002861.jpg
